query_id,d1,d2,gap,relative_gap,num_inliers,num_matches,inlier_ratio,clustered_score,top1_correct
049,1.4246389865875244,1.5239005088806152,0.09926152229309082,0.06967486024712449,89,300,0.2966666666666667,9.433981132056603,1
050,1.543725609779358,1.5439379215240479,0.0002123117446899414,0.00013753204801744966,112,244,0.45901639344262296,10.583005244258363,1
051,1.4020795822143555,1.4140448570251465,0.011965274810791016,0.008533948402482134,66,230,0.28695652173913044,7.937253933193772,1
052,1.4924061298370361,1.5695741176605225,0.07716798782348633,0.051707096534046475,96,267,0.3595505617977528,9.797958971132712,1
053,1.5498356819152832,1.5964106321334839,0.046574950218200684,0.030051540793436547,94,316,0.2974683544303797,9.695359714832659,1
054,1.3673841953277588,1.44807767868042,0.08069348335266113,0.05901302913137671,83,243,0.34156378600823045,9.055385138137417,1
055,1.5910402536392212,1.6023119688034058,0.01127171516418457,0.007084494021067368,89,218,0.40825688073394495,11.716621542061779,1
056,1.5328525304794312,1.5415332317352295,0.00868070125579834,0.005663102668515198,38,144,0.2638888888888889,6.164414002968976,1
057,1.5168368816375732,1.5360941886901855,0.019257307052612305,0.012695700695134843,61,219,0.2785388127853881,10.090480890443889,1
058,1.6533913612365723,1.656026840209961,0.002635478973388672,0.0015939837567662115,22,48,0.4583333333333333,4.58257569495584,1
059,1.4999713897705078,1.516007661819458,0.016036272048950195,0.010691051948266632,19,127,0.14960629921259844,7.331309031347558,1
060,1.3979626893997192,1.447850227355957,0.04988753795623779,0.035685886565155284,65,275,0.23636363636363636,11.171156458231291,1
061,1.5443120002746582,1.5457830429077148,0.0014710426330566406,0.0009525553338930303,33,158,0.2088607594936709,9.640986324787454,1
062,1.3637720346450806,1.4039688110351562,0.040196776390075684,0.029474703520032824,70,215,0.32558139534883723,11.47213595499958,1
063,1.5617835521697998,1.5801724195480347,0.018388867378234863,0.01177427394000087,22,141,0.15602836879432624,8.061257145734736,1
064,1.3091858625411987,1.312677264213562,0.0034914016723632812,0.002666849507209226,75,224,0.33482142857142855,14.330570875771823,1
065,1.4611622095108032,1.5241657495498657,0.0630035400390625,0.043118785600235354,63,278,0.22661870503597123,7.874007874011811,1
066,1.5588029623031616,1.567192792892456,0.008389830589294434,0.005382226485442583,65,223,0.2914798206278027,7.874007874011811,1
067,1.3879718780517578,1.3988442420959473,0.010872364044189453,0.007833274013772215,78,326,0.2392638036809816,8.774964387392123,1
068,1.553520917892456,1.5885334014892578,0.03501248359680176,0.02253750380413322,68,200,0.34,8.18535277187245,1
069,1.4552385807037354,1.4749813079833984,0.019742727279663086,0.013566660162429,88,317,0.277602523659306,9.38083151964686,1
070,1.5086658000946045,1.5167834758758545,0.00811767578125,0.005380698482553898,82,280,0.29285714285714287,9.055385138137417,1
071,1.6265349388122559,1.6520676612854004,0.02553272247314453,0.01569761697943561,49,195,0.2512820512820513,6.928203230275509,1
072,1.5754985809326172,1.624293565750122,0.04879498481750488,0.030971138538646394,63,212,0.2971698113207547,7.937253933193772,1
073,1.4315444231033325,1.4640088081359863,0.03246438503265381,0.02267787468465479,52,242,0.21487603305785125,10.0,1
074,1.4181983470916748,1.578372597694397,0.16017425060272217,0.11294206549541848,64,244,0.26229508196721313,7.874007874011811,1
075,1.4753015041351318,1.5649956464767456,0.08969414234161377,0.06079716050597759,57,249,0.2289156626506024,7.280109889280518,1
076,1.4552371501922607,1.4792941808700562,0.02405703067779541,0.016531347261590376,49,277,0.17689530685920576,11.587225949561105,1
077,1.547492504119873,1.5549533367156982,0.007460832595825195,0.004821239893545396,31,87,0.3563218390804598,5.5677643628300215,1
078,1.5792778730392456,1.5972429513931274,0.017965078353881836,0.011375501842059555,39,98,0.3979591836734694,6.244997998398398,1
079,1.441964030265808,1.4531149864196777,0.011150956153869629,0.007733172201122166,12,67,0.1791044776119403,4.685557720282968,1
